,name,address,icon,userComment,tags
232,PNY Marais,"1 Rue Perrée, 75003 Paris, France",restaurant,👌🏾,Validé ✅#Burger 🍔🍟#💸💸
233,Buns Paris 5,"8 Rue Gay-Lussac, 75005 Paris, France",restaurant,,💸#Burger 🍔🍟
234,El Guacamole,"35 Rue Yves Toudic ,75010 Paris",restaurant,,💸#Hispanique#À faire
235,Boulangerie au Blé d'Or,Rue du Marché 93160 Noisy-le-Grand France,supermarket,,Boulangerie 🥖#💸#Pâtisseries#Validé ✅
236,Pizzeria Iovine's,"7bis Rue du Colonel Driant, Paris 75001",restaurant,,Pizza 🍕#💸💸#À faire
237,Iovine’S Marais,27 Rue de Bretagne Paris France,restaurant,,💸💸#Pizza 🍕#À faire
238,Makido,178 Avenue Jean Jaurès 75019 Paris France,fastfood,,💸💸#Halal#Asiat#Validé ✅
239,Pizzou,"28 Rue de Douai, Paris 75009",restaurant,,💸💸#Pizza 🍕#Validé ✅#TheFork 🍴
240,Maison Plisson,"93 Bd Beaumarchais, Paris 75003",restaurant,,Epicierie Fine#💸💸#À faire
241,Berko,"23 Rue Rambuteau, 75004 Paris, France",restaurant,Si vous y allez prenez les cupcakes pas les cheesecakes.,💸💸#Fait ✔️#Pâtisseries
242,Le Comptoir de Mathilde,42 Rue Rambuteau 75003 Paris France,supermarket,,Epicierie Fine#Chocolaterie 🍫#À faire
243,IT Rambuteau,"77 Rue Rambuteau, 75001 Paris, France",restaurant,,💸#Pizza 🍕#À faire
244,Parfume Nicolai,45 Rue des Archives 75003 Paris France,shopping,,Parfumerie#💸💸💸#À faire
245,OBU - Organisation des Burgers Unis,"200 Rue du Faubourg Saint-Martin, 75010 Paris, France",restaurant,,💸💸#Burger 🍔🍟#À faire
246,Le Valentin,"30 Passage Jouffroy, 75009 Paris, France",cafe,,Pâtisseries#À faire
247,La Rose de Tunis,67 Boulevard de Belleville 75011 Paris France,supermarket,,Maghreb/Moyen-Orient#Pâtisseries#À faire
248,Pizza Momo,"105 Rue Saint-Antoine, 75004 Paris, France",restaurant,,💸💸#Pizza 🍕#À faire
249,Al-Ajami,"58 Rue François 1er, 75008 Paris, France",restaurant,,💸💸#Libanais 🇱🇧#À faire#TheFork 🍴
250,Les Deux Abeilles,"189 Rue de l'Université, 75007 Paris, France",restaurant,,Pâtisseries#À faire
251,Yokohama,"6 Rue Joubert, 75009 Paris, France",restaurant,Japonais,Asiat#💸💸#À faire#TheFork 🍴
252,Chiken Time's,"96 Rue Albert Menier, 77186 Noisiel, France",restaurant,,💸#Tacos 🇫🇷#Grec 🥙#À faire
253,Candy crepe,"27 Avenue Ampère, 77420 Champs-sur-Marne, France",restaurant,,💸#Crêperie#À faire
254,Hall' Food,41 Allée Parmentier 94000 Créteil France,fastfood,,💸#Halal#Grec 🥙#À faire
255,Schwartz's Deli,"22 Avenue Niel, 75017 Paris, France",restaurant,,💸💸#Restaurant#Burger 🍔🍟#À faire
256,Le Baïli Création Burger & Tex Mex Halal,"29 Rue Saint-Blaise, 75020 Paris, France",restaurant,,💸💸#Restaurant#TheFork 🍴
257,Emirates Coffee,"41 Boulevard des Provinces Françaises, 92000 Nanterre, France",restaurant,,💸#Burger 🍔🍟#Tacos 🇫🇷#Halal#Validé ✅
258,Brother's Crêpes & Café,1 Avenue Marceau 92400 Courbevoie France,fastfood,,💸#Crêperie#Halal#À faire
259,Restaurant Delice Blankok,177 Rue Maxime Gorki 93150 Le Blanc-Mesnil France,supermarket,,Grec 🥙#💸#À faire
260,MG Fast Food,"10 Place de, 95200 Sarcelles, France",restaurant,,Grec 🥙#💸#À faire
261,Spirit Cafe,"11 Rue Rameau, 75002 Paris, France",restaurant,,Restaurant#💸💸#À faire
262,SO Thai,62 Rue du Capitaine Guynemer 92400 Courbevoie France,restaurant,Thaïlandais,💸#Asiat#À faire
263,Crep's Crew,"1 Rue du Helder, 75009 Paris, France",shopping,,💸#Crêperie#À faire
264,Asian Touch,"211 Rue Saint-Maur, 75010 Paris, France",restaurant,,💸#Asiat#Halal#À faire
265,Mamma Primi,"71 Rue des Dames, 75017 Paris, France",restaurant,,💸💸#Big Mamma#À faire#Pizza 🍕
