name,address,city,postalCode,country,icon,userComment,tag1,tag2,tag3,tag4,tag5,tag6,tag7,coordinates
Kodawari Ramen,29 Rue Mazarine,Paris,75006, France,restaurant,Japonais,💸💸,Asiat,Validé ✅,,,,,"[2.3381383, 48.8546132]"
Pascal & Anthony,32 Rue de Dantzig,Paris,75015, France,bakery,,💸💸,Boulangerie 🥖,Pâtisseries,À faire,,,,"[2.2986431, 48.8336157]"
Eugène,48 Rue du Hameau,Paris,75015, France,cafe,,🍴 inconnu,Café,À faire,,,,,"[2.2865845, 48.8336786]"
VG Pâtisserie,123 Boulevard Voltaire,Paris,75011, France,bakery,,💸,Pâtisseries,À faire,,,,,"[2.3820088, 48.85693300000001]"
La Brigade - Oberkampf,103 Rue Oberkampf Paris 75011,,,,restaurant,,Viande,💸💸,Validé ✅,TheFork 🍴,,,,"[2.376899299999999, 48.8656309]"
Arabian Oud,63 Avenue des Champs-Élysées 75008 Paris France,,,,shopping,,💸💸💸,Parfumerie,À faire,,,,,"[2.3044206, 48.8703697]"
ABDUL SAMAD AL QURASHI,45 Avenue George V,Paris,75008, France,shopping,,💸💸💸,Parfumerie,À faire,,,,,"[2.3006061, 48.8706232]"
Le temps et le pain,7 Rue Mouton-Duvernet,Paris,75014, France,bakery,,💸💸,Boulangerie 🥖,Pâtisseries,À faire,,,,"[2.3288448, 48.8315518]"
Hayaku Shop,4 Rue Dante,Paris,75005, France,shopping,,Librairie,À faire,,,,,,"[2.3468041, 48.8513927]"
La French Touch,137 Rue des Fauvelles,Courbevoie,92250, France,restaurant,,💸💸,Burger 🍔🍟,À faire,,,,,"[2.232582, 48.900863]"
La Comedia,107 Rue Monge,Paris,75005, France,restaurant,,Pizza 🍕,💸💸,À faire,,,,,"[2.3517967, 48.8402412]"
Au P'tit Grec,68 Rue Mouffetard,Paris,75005, France,shopping,,💸,Grec 🇬🇷,Halal,Validé ✅,,,,"[2.3495575, 48.8427708]"
Guimi House,38 Rue de Turbigo,Paris,75003, Francia,shopping,,Guimi,À faire,,,,,,"[2.343082, 48.8740984]"
Guimi House,38 Rue de Turbigo,Paris,75003, Francia,shopping,,Guimi,À faire,,,,,,"[2.3538742, 48.86484789999999]"
闺蜜甜品,48 Rue René Boulanger,Paris,75010, France,restaurant,,Guimi,🍴 inconnu,À faire,,,,,"[2.360191, 48.86861989999999]"
Guimi House,54 Rue Richer,Paris,75009, France,restaurant,,Guimi,Asiat,🍴 inconnu,À faire,,,,"[2.343082, 48.8740984]"
Guimi House,54 Rue Richer,Paris,75009, France,restaurant,,Guimi,Asiat,🍴 inconnu,À faire,,,,"[2.3538742, 48.86484789999999]"
Le Gribouille,44 Rue de Rivoli,Paris,75004, France,restaurant,,💸💸,Bar,À faire,TheFork 🍴,,,,"[2.3552514, 48.8567371]"
French Home,29 Rue Marx Dormoy ,,Paris,,fastfood,,💸,Halal,Burger 🍔🍟,À faire,,,,"[2.3592402, 48.8866398]"
Choco Factory,13 Rue de Médicis,Paris,75006, France,cafe,,💸💸,Pâtisseries,Validé ✅,,,,,"[2.340136499999999, 48.84794520000001]"
Le Butcher,157 Rue du Faubourg Saint-Honoré,Paris,75008, France,restaurant,,💸💸,Burger 🍔🍟,Halal,À faire,TheFork 🍴,,,"[2.306667999999999, 48.87434999999999]"
Les Grands Enfants,160 Boulevard de Charonne,Paris,75020, France,restaurant,,💸💸,Restaurant,À faire,TheFork 🍴,,,,"[2.3944834, 48.8568482]"
La petite étoile,30 Rue Voltaire,Levallois-Perret,92300, France,restaurant,,Pizza 🍕,Halal,Pâtes 🍝,Restaurant,💸💸,À faire,TheFork 🍴,"[2.283871099999999, 48.8917148]"
La Grande Épicerie de Paris,38 Rue de Sèvres,Paris,75007, France,shopping,,💸💸💸,Epicierie Fine,Validé ✅,Grand Magasin 🛍,2️⃣,,,"[2.3239013, 48.8505159]"
Tea & Waffle,62 Rue Monsieur le Prince Paris France,,,,supermarket,J’avais pris un waffle 2 boules. Vraiment très bon.,Validé ✅,💸,Salon de thé 🍵,,,,,"[2.3407636, 48.8479689]"
Rapid'Naan,52 Rue du Faubourg du Temple 75011 Paris France,,,,fastfood,,Grec 🥙,Tacos 🇫🇷,💸,À faire,,,,"[2.3702811, 48.8696047]"
La Roses de DAMAS,6 Boulevard Saint-Germain,Paris,75005, France,restaurant,,Halal,Libanais 🇱🇧,À faire,,,,,"[2.3551875, 48.8495502]"
Benedict,19 Rue Sainte-Croix de la Bretonnerie,Paris,75004, France,restaurant,,💸💸,Restaurant,À faire,,,,,"[2.356082, 48.85816430000001]"
L'envol,24 Av. Du Maréchal Foch Chelles 77500,,,,restaurant,,💸💸,Africain,,,,,,"[2.5789896, 48.872734]"
Poulet braise,106 Rue de Clignancourt,Paris,75018, France,restaurant,,Africain,Poulet 🐔,Halal,🍴 inconnu,À faire,,,"[2.3491466, 48.8927838]"
Andiamo,15 Cours Mgr Roméro,Évry,91000, France,restaurant,,💸,Restaurant,À faire,,,,,"[2.4297515, 48.62313220000001]"
Grazie,91 Boulevard Beaumarchais,Paris,75003, France,restaurant,,💸💸,Pizza 🍕,Validé ✅,Zenchef,2️⃣,,,"[2.3672784, 48.8593718]"
Le 1818 | Restaurant Halal Paris | Restaurant Halal Paris 16,2 Rue de Sontay,Paris,75016, France,restaurant,,💸💸,Halal,Restaurant,À faire,,,,"[2.284879, 48.870179]"
O'scià Pizzeria Napoletana,42 Rue Tiquetonne,75002,Paris,,restaurant,,💸💸,Pizza 🍕,À faire,Zenchef,,,,"[2.3474451, 48.86485320000001]"
Frog POP-UP,176 Rue Montmartre,Paris,75002, France,bar,,Restaurant,💸💸,À faire,Zenchef,,,,"[2.3430232, 48.8710086]"
Ippudo Louvre,74-76 Rue Jean-Jacques Rousseau,75001,Paris-1ER-Arrondissement,,restaurant,Japonais,💸💸,Asiat,À faire,,,,,"[2.34462, 48.86452]"
La Frontera Créteil,7 Rue du Général de Larminat,Créteil,94000, France,restaurant,,💸,Halal,Hispanique,À faire,,,,"[2.4536796, 48.7835097]"
Baagaa Trocadero,54 Rue de Longchamp Paris France,,,,fastfood,,💸💸,Burger 🍔🍟,Baāgaā,À faire,,,,"[2.2874067, 48.8651153]"
Baagaa Montorgueil,28 Rue Léopold Bellan Paris France,,,,restaurant,,💸💸,Burger 🍔🍟,Baāgaā,À faire,,,,"[2.345250000000001, 48.86672799999999]"
Brasserie Zimmer,1 Place du Châtelet,Paris,75001, France,restaurant,,💸💸,Restaurant,À faire,TheFork 🍴,,,,"[2.346889, 48.857807]"
Le Cafe Lomi,3TER Rue Marcadet Paris France,,,,shopping,,💸💸,Café,À faire,,,,,"[2.3553145, 48.89030769999999]"
L'Atelier Corse,21 Rue du Général Leclerc,Mennecy,91540, France,restaurant,,Restaurant,🍴 inconnu,À faire,,,,,"[2.4340095, 48.5699129]"
IKEA Food,35 Rue Jean Jaurès,Villiers,94350, France,shopping,Tarte au daim,💸,Suédois 🇸🇪,Validé ✅,,,,,"[2.5300762, 48.8280186]"
Boutique Angelina Paris,108 Rue du Bac,75007,Paris,,shopping,,💸💸,Pâtisseries,,,,,,"[2.3235883, 48.8531554]"
Parc des Beaumonts,93100 Montreuil,,France,,forest,,Le Parc,Parcs,,,,,,"[2.45366, 48.85688409999999]"
La Cure Gourmande,49 Avenue de l'Opéra 75002 Paris France,,,,restaurant,C’est cher mais c’est très bon. PS: Prenez les gâteaux plutôt que les bonbons.,💸💸,Pâtisseries,Validé ✅,,,,,"[2.33236, 48.8698057]"
Showcolat,21 Rue de Rochechouart,Paris,75009, France,restaurant,,Pâtisseries,À faire,,,,,,"[2.344688, 48.877636]"
House of 3 brothers,25 Rue de Lancry,Paris,75010, France,bakery,,💸,À faire,Pâtisseries,,,,,"[2.3608404, 48.8702307]"
Chipotle Mexican Grill,2 Rue Linois,75015,Paris,,fastfood,,💸💸,Hispanique,Validé ✅,,,,,"[2.2823663, 48.8491498]"
Promenade plantée,Promenade Plantée 75012 Paris France,,,,train,,Parcs,Validé ✅,,,,,,"[2.371466, 48.8493828]"
Parc André Citroën,2 Rue Cauchy,Paris,75015, France,beach,,Parcs,Validé ✅,,,,,,"[2.2753752, 48.840971]"
Parc Monceau,75008 Paris France,,,,tourism,,Parcs,,,,,,,"[2.308955, 48.8796835]"
Buttes Chaumont,France,,,,generic,,Parcs,Validé ✅,,,,,,"[2.3812963, 48.87809900000001]"
Square de la Butte du Chapeau Rouge,75019 Paris,,France,,beach,,Parcs,,,,,,,"[2.3989933, 48.88185889999999]"
Parc de la Villette,Avenue Jean Jaurès 75019 Paris France,,,,beach,,Parcs,Validé ✅,,,,,,"[2.39026, 48.8938489]"
Cuvier-Jardin des Plantes,7 Rue Linné 75005 Paris France,,,,train,,Parcs,Validé ✅,À faire,,,,,"[2.35567, 48.84215]"
Square Jehan Rictus,1 Rue de la Vieuville 75018 Paris France,,,,beach,,Parcs,Validé ✅,,,,,,"[2.3386422, 48.8847485]"
Pizzeria Popolare,111 Rue Réaumur,75002,Paris,,restaurant,,💸,Big Mamma,Pizza 🍕,Validé ✅,2️⃣,,,"[2.343293, 48.868127]"
Seven7 Délices du monde,32 Clos des Cascades,Noisy-le-Grand,93160, France,restaurant,,Africain,💸💸,À faire,,,,,"[2.5480209, 48.84193029999999]"
Parc de la Butte Verte,1 Bd du Champy-Richardets,Noisy-le-Grand,93160, France,school,,Parcs,Validé ✅,,,,,,"[2.5781249, 48.8371522]"
Jardin du Palais Royal,Paris-1ER-Arrondissement，,Rue,6, 75001 Paris-1ER-Arrondissement,historic,,Parcs,Validé ✅,,,,,,"[2.3378061, 48.8649723]"
B&M Burgers restaurant,98 Rue des Martyrs,Paris,75018, France,fastfood,"Tu savoures chaque bouchée du burger et des frites. PS : Mettez du chili flakes sur vos frites et dans votre burger, ça fait la diff.",💸💸,Burger 🍔🍟,Validé ✅,RIP (Fermé definitivement),,,,"[2.3398743, 48.8844027]"
Koff,15 Rue la Vieuville,Paris,75018, France,restaurant,,💸💸,Burger 🍔🍟,À faire,,,,,"[2.3400721, 48.8847312]"
PARIS - PORTO,100 Rue des Martyrs,Paris,75018, France,bakery,,💸,Portugal 🇵🇹,Epicierie,Validé ✅,,,,"[2.3398486, 48.8845568]"
La pâtisserie Gilles Marchal,9 Rue Ravignan,Paris,75018, France,restaurant,,Pâtisseries,💸💸,À faire,,,,,"[2.3377974, 48.88566529999999]"
Sofra,91 Avenue Edouard Vaillant,Boulogne-Billancourt,92100, France,restaurant,Le grec cuit au four 👌🏾. J’y retournerai prendre d’autres sandwichs car c’est vraiment très bon.,💸,Snack,Halal,Grec 🥙,Validé ✅,,,"[2.2455606, 48.83404360000001]"
Lunch Club,8 Avenue Jean Jaurès,Paris,75019, France,restaurant,J’ai pris le spécial vraiment bon en plus t’es calé pour pas cher qualité prix au top,💸,Halal,Grec 🥙,Validé ✅,,,,"[2.3710584, 48.8828378]"
Restaurant Le Rhumel,7 Boulevard de Belleville,Paris,75011, France,restaurant,,Restaurant,🍴 inconnu,À faire,,,,,"[2.3821095, 48.8675874]"
Lodoss Chicken,75 Avenue de la Porte des Lilas,Les,93260, France,restaurant,Le sandwich est bon mais les frites sont mauvaises,💸,Snack,Grec 🥙,Halal,Fait ✔️,,,"[2.4124257564544678, 48.87894058227539]"
