name,address,city,postalCode,country,icon,userComment,tag1,tag2,tag3,tag4,tag5,tag6,tag7,coordinates
Ike'Spress Sandwiches,66 Powell St San Francisco,94102,CA,,fastfood,,Restaurant,Florian On Air,À faire,,,,,"[-122.419749, 37.78518399999999]"
Take Otac,89 Rue d'Avron,Paris,75020, France,restaurant,,Halal,Florian On Air,💸,Hispanique,À faire,TheFork 🍴,,"[2.405291, 48.8526426]"
Naan Factory's,78 Avenue Anatole France 93600 Aulnay-sous-Bois France,,,,fastfood,,Florian On Air,Snack,🍴 inconnu,,,,,"[2.4947306, 48.93717609999999]"
Sweetea's,61 Rue des Gravilliers,Paris,75003, France,restaurant,,Restaurant,Florian On Air,💸💸,Réservation,À faire,,,"[2.354653299999999, 48.86438880000001]"
Eat Salad,19 Boulevard Montmartre,Paris,75002, France,restaurant,,Restaurant,Florian On Air,💸,À faire,,,,"[2.3409408, 48.8715994]"
C La Que C Bon,10 Passage de l'Image Saint-Martin 94000 Créteil France,,,,restaurant,,Restaurant,Florian On Air,🍴 inconnu,À faire,,,,"[2.46273, 48.792284]"
La Banquette,2 Rue de la Prévoyance,Vincennes,94300, France,shopping,,Florian On Air,💸💸,Crêperie,À faire,,,,"[2.420434, 48.8467251]"
Creperie LA GALANTE,16 Rue Arthur Fontaine,Drancy,93700, France,restaurant,,Crêperie,Florian On Air,À faire,,,,,"[2.4558812, 48.9198619]"
21 Coree,40 Rue Carnot 92100 Boulogne-Billancourt France,,,,restaurant,Coréen,Florian On Air,Asiat,💸💸,À faire,,,,"[2.2415674, 48.8344519]"
La Goutte d'Or Pâtisserie,183 Rue Marcadet,Paris,75018, France,restaurant,,Florian On Air,Pâtisseries,Validé ✅,,,,,"[2.3354526, 48.891555]"
Domicile Pizza,10 Rue Adolphe Mille 75019 Paris France,,,,restaurant,,Florian On Air,💸,Fait ✔️,Halal,,,,"[2.3887657, 48.88893309999999]"
Roberta,5 bis rue la Vieuville Abbesses Paris 75018,,,,restaurant,,Florian On Air,💸💸,Pizza 🍕,À faire,TheFork 🍴,,,"[2.339037, 48.8846968]"
PHARE WEST CRÊPERIE,117 Rue Louis Rouquier,Levallois-Perret,92300, France,restaurant,,Florian On Air,Crêperie,🍴 inconnu,À faire,,,,"[2.2923589, 48.8930053]"
Home'Lette,8 Avenue de la Résistance France,,,,restaurant,,Florian On Air,🍴 inconnu,Sandwich 🥪,Gâteau 🎂,À faire,,,"[2.5124349, 48.89118680000001]"
Maison Lebon,13 Rue Lebon,Paris,75017, France,restaurant,Produits suédois,Florian On Air,Suédois 🇸🇪,À faire,,,,,"[2.2918399, 48.88104930000001]"
Le Broc du Vieux Lille,32 Place Louise de Bettignies,Lille,59000, France,restaurant,,Florian On Air,Restaurant,💸💸,Zenchef,À faire,,,"[3.065431499999999, 50.6412716]"
Soho Urban Food,14 Rue Léon Trulin Lille France,,,,restaurant,,Florian On Air,À faire,,,,,,"[3.066125899999999, 50.637918]"
Les Tontons Afro,42 Rue de La Monnaie,59000,Lille,,restaurant,,Florian On Air,Africain,Burger 🍔🍟,💸💸,Validé ✅,Zenchef,,"[3.0625512, 50.64132730000001]"
Burger Station,Rue Pierre Mauroy 59800 Lille France,,,,shopping,,Florian On Air,Burger 🍔🍟,À faire,,,,,"[3.065076899999999, 50.63669939999999]"
Brasserie La Chicorée,15 Place Rihour,Lille,59000, France,restaurant,,Florian On Air,Bar,À faire,,,,,"[3.0632228, 50.6359987]"
Twister French Food.,182 Rue Pierre Legrand 59800 Lille France,,,,fastfood,,Florian On Air,Snack,À faire,,,,,"[3.0914095, 50.6326164]"
Mitico,48 Grand Rue,Strasbourg,67000, France,restaurant,,Florian On Air,Italien 🇮🇹,💸,À faire,,,,"[7.7410471, 48.5822673]"
Cam's Cakes,28 Place des Carmes Rouen France,,,,supermarket,,Florian On Air,Pâtisseries,À faire,,,,,"[1.0965196, 49.4421052]"
Quick Grill,8 Rue Percière,Rouen,76000, France,restaurant,,Florian On Air,💸,Snack,À faire,,,,"[1.0918164, 49.4429291]"
Ma Boulangerie,6 Place du Vieux Marché,Rouen,76000, France,restaurant,,Florian On Air,Boulangerie 🥖,🍴 inconnu,À faire,,,,"[1.089296, 49.4430833]"
Nachos mexican grill - Vieux marché,Rue du Gros Horloge,Rouen,76000, France,restaurant,,Florian On Air,Hispanique,À faire,,,,,"[1.0891767, 49.4425016]"
L'Oriflamme,2 Place de la Visitation,Angers,49100, France,restaurant,,Florian On Air,💸,Viande,À faire,,,,"[-0.5568308, 47.4669158]"
La Rose Des Sables,1 Rue du Bouffay,Nantes,44000, France,restaurant,,Florian On Air,Grec 🥙,À faire,,,,,"[-1.5541426, 47.21495119999999]"
Boulangerie Chez Pascal,46 Route du Cap Ferret,Lège-Cap-Ferret,33950, France,shopping,,Florian On Air,Boulangerie 🥖,À faire,,,,,"[-1.212622, 44.7161066]"
Le Raffiné,34 Rue du Cardinal de Cabrières,Montpellier,34000, France,restaurant,,Florian On Air,Grec 🥙,💸💸,À faire,,,,"[3.8744501, 43.6148677]"
Che Boludo Empanadas Argentinas,10 Rue Boussairolles,Montpellier,34000, France,restaurant,,Florian On Air,Hispanique,À faire,,,,,"[3.8810213, 43.607964]"
Croquants Villaret,13 Rue de la Madeleine 30000 Nîmes France,,,,supermarket,,Florian On Air,À faire,,,,,,"[4.358178299999999, 43.83771480000001]"
Carré Gourmand,12 Rue de la Maison Carrée 30000 Nîmes France,,,,restaurant,,Florian On Air,Grec 🥙,💸,À faire,,,,"[4.355993, 43.837647]"
Ouest Express Vaise,41 Rue des Docks,Lyon,69009, France,restaurant,,Florian On Air,À faire,,,,,,"[4.8117638, 45.7871352]"
La Casa Del Burger,14 Allée des Cèdres,Villeurbanne,69100, France,restaurant,,Florian On Air,Snack,À faire,,,,,"[4.910694599999999, 45.756246]"
Comedy Pizz,59 Rue Trarieux,Lyon,69003, France,restaurant,,Florian On Air,Snack,À faire,,,,,"[4.884883800000001, 45.7455313]"
A.F.C,14 Grande Rue de la Guillotière,Lyon,69007, France,restaurant,,Florian On Air,Africain,À faire,,,,,"[4.843468800000001, 45.75434000000001]"
Boulangerie Chez Jules Victor Hugo,39 Rue Victor Hugo,Lyon,69002, France,restaurant,,Florian On Air,Boulangerie 🥖,À faire,,,,,"[4.829612399999999, 45.7535961]"
A La Marquise,Maison du Chamarier,Rue,37, 69005 Lyon,restaurant,,Florian On Air,🍴 inconnu,Pâtisseries,À faire,,,,"[4.8273072, 45.7615886]"
100 Montaditos,Calle San Fernando,41004,29,,restaurant,,Florian On Air,Hispanique,À faire,,,,,"[-5.990328000000001, 37.3817889]"
Chocolats Favoris,150 Rue Ste-Catherine O Montréal H2X Canada,,,,supermarket,,Florian On Air,Chocolaterie 🍫,💸💸,À faire,,,,"[-73.5650284, 45.5081942]"
Brenda's French Soul Food,652 Polk St,Francisco,San, CA 94102,restaurant,,Florian On Air,💸💸,Soul Food,À faire,,,,"[-122.4190358, 37.7829023]"
El Fogon,Av Constituyentes,,DOWNTOWN, 77720 Playa del Carmen,restaurant,,Florian On Air,Hispanique,À faire,,,,,"[-87.0739284, 20.6327939]"
Key Lime Pie Bakery,412 Greene Street,West,Key,,music,,Florian On Air,Pâtisseries,💸💸,À faire,,,,"[-81.80581409999999, 24.5585547]"
Flanigan's Seafood Bar and Grill,2721 Bird Rd,Grove,Coconut, FL 33133,restaurant,,Florian On Air,Poisson 🐟,Bar,À faire,,,,"[-80.2383613, 25.7358215]"
Big Pink,157 Collins Ave Miami Beach,33139,FL,,fastfood,,Florian On Air,Burger 🍔🍟,À faire,,,,,"[-80.1336549, 25.7708228]"
Puerto Sagua,700 Collins Ave Miami Beach,33139,FL,,restaurant,,Florian On Air,Hispanique,À faire,,,,,"[-80.13258619999999, 25.7770925]"
Little Cupcake Bakeshop,30 Prince St,York,New, NY 10012,restaurant,,Florian On Air,Pâtisseries,À faire,,,,,"[-73.994852, 40.722932]"
Flip'n Toss,82 Christopher St,York,New, NY 10014,restaurant,,Florian On Air,💸💸,Burger 🍔🍟,À faire,,,,"[-74.0036184, 40.73340510000001]"
"Burger, Inc.",353 W 14th St,York,New, NY 10014,restaurant,,Florian On Air,Burger 🍔🍟,À faire,,,,,"[-74.00469580000001, 40.7408498]"
Red Lobster,5 Times Square,York,New, NY 10036,restaurant,,Florian On Air,Poisson 🐟,À faire,,,,,"[-73.98752999999999, 40.755587]"
Chick'nCone,353 W 14th St,York,New, NY 10014,restaurant,,Florian On Air,Poulet 🐔,À faire,,,,,"[-73.982463, 40.76756109999999]"
Jacob Soul Food,373 Malcolm X Blvd New York,10027,NY,,restaurant,,Florian On Air,Soul Food,À faire,,,,,"[-73.94394980000001, 40.8102838]"
Tutti Sensi,14 Rue Norvins 75018 Paris France,,,,supermarket,,💸,À faire,Glaces 🍨🍦,,,,,"[2.3404254, 48.88690829999999]"
Snack le Magenta,48 Rue du Chevalier de la Barre 75018 Paris France,,,,supermarket,,Pâtisseries,💸,À faire,,,,,"[2.341716, 48.8871422]"
Le vrai Paris,33 Rue des Abbesses,Paris,75018, France,cafe,,Restaurant,💸💸,À faire,TheFork 🍴,2️⃣,,,"[2.3370896, 48.8849463]"
Le Grenier à Pain Abbesses Bodian,38 rue Des Abesses Paris 75018,,,,restaurant,,Boulangerie 🥖,💸,À faire,,,,,"[2.3367337, 48.88531829999999]"
Soon Grill,78 Rue des Tournelles,Paris,75003, France,restaurant,,💸💸,Asiat,Halal,À faire,TheFork 🍴,,,"[2.367436, 48.858096]"
Burger Green,120 Rue du Général Leclerc,Rouen,76000, France,restaurant,,Burger 🍔🍟,Halal,À faire,TheFork 🍴,,,,"[1.0897563, 49.4402384]"
Happy Days,14552 Ventura Blvd,Oaks,Sherman, CA 91403,cafe,,Restaurant,À faire,,,,,,"[-118.4505086, 34.15100919999999]"
L'Antica Pizzeria da Michele,Via Cesare Sersale,,1, 80139 Napoli NA,restaurant,,Pizza 🍕,À faire,,,,,,"[14.2633002, 40.8497563]"
Owit,91 Rue Didot,Paris,75014, France,restaurant,,Grec 🥙,🍴 inconnu,À faire,,,,,"[2.3168777, 48.8287701]"
L'escale De Ménilmontant,137 Boulevard de Ménilmontant,Paris,75011, France,generic,,Grec 🥙,À faire,,,,,,"[2.3829901, 48.8665715]"
Manhattan Hot Dog,7 Rue de la Roquette 75011 Paris France,,,,fastfood,,Hot-Dog 🌭,🍴 inconnu,À faire,,,,,"[2.3708202, 48.8539931]"
The Street Pig BBQ,Lambeth,SE1,Londres, Royaume-Uni,restaurant,,Viande,À faire,,,,,,"[-0.1160875, 51.5056139]"
L'Été en Pente Douce,8 Rue Paul Albert,Paris,75018, France,restaurant,,Restaurant,À faire,,,,,,"[2.3451788, 48.8863549]"
Cantine California,46 rue de turbigo,Paris,75003, France,restaurant,Commandes par traiteur disponible ,💸💸,Restaurant,À faire,,,,,"[2.204268201870662, 48.86692990142856]"
Boneshaker Donuts,86 Rue d'Aboukir,Paris,75002, France,restaurant,,Pâtisseries,Validé ✅,,,,,,"[2.3477901, 48.86792680000001]"
Starvin' Joe,42 Rue de Charonne,Paris,75011, France,restaurant,,Burger 🍔🍟,À faire,,,,,,"[2.3768314, 48.8531909]"
Jun,1 Rue de Condé,Paris,75006, France,restaurant,Japonais,Asiat,💸💸,À faire,TheFork 🍴,2️⃣,,,"[2.3385005, 48.85159230000001]"
Casa San Pablo,5 Rue de Sévigné Paris France,,,,restaurant,,Restaurant,💸,À faire,,,,,"[2.3618368, 48.8554346]"
Blueberry Maki Bar,6 Rue du Sabot,Paris,75006, France,restaurant,Japonais ,💸💸,Asiat,Réservation,À faire,2️⃣,,,"[2.3314671, 48.85277059999999]"
Pleyel Burger,Carrefour Pleyel,Saint-Denis,93200, France,restaurant,,Burger 🍔🍟,🍴 inconnu,À faire,,,,,"[2.344087, 48.9204725]"
31 Street - Burgers,31 Rue Gauthey,Paris,75017, France,restaurant,,Burger 🍔🍟,🍴 inconnu,À faire,TheFork 🍴,,,,"[2.3209683, 48.8924295]"
La grotte de Chypre,85 rue mouffetard Paris,Paris,75005, France,restaurant,,Grec 🥙,À faire,,,,,,"[2.3498606, 48.84181390000001]"
Caffe Concerto Piccadilly,29-31 Piccadilly,,Piccadilly, Mayfair,restaurant,,Pâtisseries,À faire,,,,,,"[-0.136781, 51.50923299999999]"
Peggy Porschen - Belgravia,116 Ebury Street,London,Belgravia,,shopping,,Salon de thé 🍵,À faire,,,,,,"[-0.1505416, 51.4933026]"
Don Luigi,49 Brixton Station Rd,,Brixton, London SW9 8PQ,restaurant,,Pizza 🍕,À faire,,,,,,"[-0.1123463, 51.4635098]"
Other Side fried,Pop brixton,Brixton,49, Brixton,restaurant,,Burger 🍔🍟,Validé ✅,,,,,,"[-0.1123267, 51.4635255]"
Le Medaillon,85 Avenue de la République 94800 Villejuif France,,,,restaurant,,Restaurant,🍴 inconnu,À faire,,,,,"[2.3590674, 48.78834270000001]"
Snack Firat,325 Avenue Jean Jaurès 95100 Argenteuil France,,,,supermarket,,Grec 🥙,À faire,,,,,,"[2.2106114, 48.94141570000001]"
La Mangerie,7 Rue de Jarente,Paris,75004, France,restaurant,,Restaurant,🍴 inconnu,À faire,,,,,"[2.3628122, 48.8557001]"
La Crème de Paris,4 Rue du Faubourg Montmartre,Paris,75009, France,shopping,,Pâtisseries,💸💸,À faire,,,,,"[2.3432751, 48.8717113]"
Sette Pizza - Paris,38 Rue du Faubourg Saint-Denis,Paris,75010, France,restaurant,,Pizza 🍕,À faire,💸💸,TheFork 🍴,,,,"[2.3535652, 48.87124]"
Ozio,29 bis Rue Saint-Didier,Paris,75116, France,restaurant,,Pizza 🍕,🍴 inconnu,À faire,,,,,"[2.2855465, 48.8663909]"
Karl,6 Place du Parlement,Bordeaux,33000, France,restaurant,,Restaurant,💸,À faire,,,,,"[-0.5719630999999998, 44.8404312]"
Applebee's,205 W 50th St,York,New, NY 10019,restaurant,,Restaurant,À faire,,,,,,"[-73.98357779999999, 40.7613731]"
Di Più,85 Quai des États-Unis,Nice,06300, France,restaurant,,Italien 🇮🇹,💸💸,À faire,,,,,"[7.273015999999999, 43.695259]"
Lombardo's,Nieuwe Spiegelstraat 50,DG,1017, Pays-Bas,restaurant,,Burger 🍔🍟,À faire,,,,,,"[4.8886947, 52.3635435]"
Des gâteaux et du pain,63 Boulevard Pasteur,Paris,75015, France,restaurant,,Pâtisseries,Boulangerie 🥖,💸💸,Validé ✅,,,,"[2.314665, 48.8412273]"
faggio,,,, 72 Rue de Rochechouart,restaurant,,Pizza 🍕,🍴 inconnu,À faire,,,,,"[2.346708, 48.8816416]"
Carl's Jr,728 Avenue de Draguignan,La,83130, France,restaurant,,🍴 inconnu,Burger 🍔🍟,À faire,,,,,"[6.0338041, 43.1396267]"
L'atelier sur la braise - Paris,23 Rue des Vignoles,Paris,75020, France,restaurant,,Restaurant,💸💸,Viande,À faire,,,,"[2.399065199999999, 48.8536896]"
Fat's Chicken and Waffles,2726 E Cherry St,,Seattle, WA 98122,restaurant,,Soul Food,À faire,,,,,,"[-122.2964518, 47.6081435]"
Flora Danica,142 Avenue des Champs-Elysées,75008,Paris,,restaurant,,Restaurant,💸💸,Poisson 🐟,À faire,,,,"[2.2987621, 48.8729957]"
Action,30 Boulevard Paul Vaillant Couturier,Ivry-sur-Seine,94200, France,shopping,,💸,Validé ✅,À bats la hess,,,,,"[2.3964555, 48.8184641]"
La Maison du Dim Sum,4 Rue des Fossés Saint-Jacques,Paris,75005, France,restaurant,Chinois ,💸💸,Asiat,À faire,,,,,"[2.343415, 48.84594]"
Baba Zulu,23 Rue Beaurepaire Paris 75010,,,,restaurant,,Soul Food,💸💸,,,,,,"[2.3639914, 48.8711079]"
Montale Parfums,68 Rue Pierre Charron,Paris,75008, France,shopping,,💸💸💸,Parfumerie,À faire,,,,,"[2.304339999999999, 48.869905]"
Maison Honoré,332 Route d'Enghien,Argenteuil,95100, France,restaurant,,Pâtisseries,🍴 inconnu,À faire,,,,,"[2.2868909, 48.9570944]"
Pizza Di Loretta - Rodier,62 Rue Rodier Paris 75009,,,,restaurant,,Pizza 🍕,💸💸,À faire,,,,,"[2.3440565, 48.88061159999999]"
Babalou,4 Rue Lamarck,Paris,75018, France,restaurant,,Pizza 🍕,💸💸,À faire,TheFork 🍴,,,,"[2.344329, 48.886482]"
Le Papacionu Paris,7 Rue Cadet,Paris,75009, France,restaurant,,Pizza 🍕,💸💸,Zenchef,,,,,"[2.3428264, 48.8748385]"
Kong,1 Rue du Pont Neuf,Paris,75001, France,restaurant,,Restaurant,Réservation,💸💸💸,À faire,,,,"[2.343116, 48.859286]"
Caucase House,8 Avenue Georges Durand,Le,72100, France,generic,,Restaurant,🍴 inconnu,À faire,,,,,"[0.2108025997877121, 47.98236846923828]"
Holy Moly Gourmet Burger,2 Quai Vendeuvre,Caen,14000, France,restaurant,,💸💸,Burger 🍔🍟,Validé ✅,,,,,"[-0.3578453999999999, 49.18385529999999]"
Safran,11 Rue Saint-Sauveur,Caen,14000, France,restaurant,,Grec 🥙,🍴 inconnu,À faire,,,,,"[-0.3663394, 49.1836697]"
Le P'tit Chou Normand,65 Rue Saint-Pierre,Caen,14000, France,restaurant,,Boulangerie 🥖,Validé ✅,💸,,,,,"[-0.3634226, 49.1832557]"
La Buona Tavola,47 Rue Saint-Sauveur,Caen,14000, France,restaurant,,Restaurant,🍴 inconnu,À faire,,,,,"[-0.367868, 49.18306]"
Pimp My Burger,10 Rue Anatole France,Puteaux,92800, France,restaurant,,Burger 🍔🍟,Halal,💸💸,À faire,,,,"[2.2396996, 48.8836312]"
LE PACHA,24 Avenue de Fontainebleau,Le,94270, France,restaurant,,Grec 🥙,Halal,Validé ✅,💸,,,,"[2.3605505, 48.8145951]"
Snack Taco's,65 Avenue Jean Jaurès 75019 Paris France,,,,restaurant,,Burger 🍔🍟,Halal,🍴 inconnu,À faire,,,,"[2.3731426, 48.8837775]"
dreamfood,41 Rue Mouraud,Paris,75020, France,restaurant,,Snack,🍴 inconnu,À faire,,,,,"[2.4080383, 48.8570099]"
Edwart Chocolatier,17 Rue Vieille du Temple,Paris,75004, France,shopping,,Chocolaterie 🍫,À faire,,,,,,"[2.356910699999999, 48.8569028]"
Salatim,15 Rue des Jeuneurs,Paris,75002, France,restaurant,,Restaurant,💸💸,À faire,Zenchef,,,,"[2.3459585, 48.8690915]"
Arby's,611 8th Ave,York,New, NY 10018,restaurant,,Restaurant,💸💸,À faire,,,,,"[-73.99124090000001, 40.7558174]"
La tête dans les nuages,5 Boulevard des Italiens,Paris,75002, France,generic,,Arcade 👾,💸💸,2️⃣,,,,,"[2.3391802, 48.87155629999999]"
Planete Regal,65 Route du Pavé Blanc,Clamart,92140, France,restaurant,,Grec 🥙,🍴 inconnu,À faire,,,,,"[2.2377628, 48.7843414]"
Twenty Time,93 Avenue Aristide Briand France,,,,fastfood,Pas ouf askip,Grec 🥙,💸,À faire,,,,,"[2.3249923, 48.80398590000001]"
V.N.P.,38 Rue Jean-Pierre Timbaud,Paris,75011, France,restaurant,Les grecs coûtent entre 8 à 10€,Grec 🥙,💸,À faire,,,,,"[2.3716764, 48.8661255]"
Aux Merveilleux de Fred,1 Rue du Midi 94300 Vincennes France,,,,supermarket,Pas mal mais je trouve les brioches meilleures que les autres trucs,💸💸,Pâtisseries,Validé ✅,,,,,"[2.4387618, 48.84705]"
M.S factory,112 Route de la Reine,Boulogne-Billancourt,92100, France,restaurant,,Halal,💸💸,À faire,,,,,"[2.2358985, 48.84022849999999]"
Tricotin,15 Av. de Choisy,Paris,75013, France,restaurant,,Asiat,Validé ✅,,,,,,"[2.363603, 48.82090900000001]"
Librairie EMET,250 bd voltaire,Paris,75011,,library,,Librairie,À faire,,,,,,"[2.3912528, 48.8510032]"
Eric Kayser,18 Rue du Bac,Paris,75007, France,restaurant,,💸,À faire,,,,,,"[2.3282801, 48.8583158]"
PNY OBERKAMPF,96 Rue Oberkampf,Paris,75011, France,restaurant,,💸💸,Burger 🍔🍟,Validé ✅,,,,,"[2.377769, 48.8656399]"
Pizzeria Les Jardins d'Italie,61-63 Rue Ledru Rollin,Châteauroux,36000, France,restaurant,,Pizza 🍕,🍴 inconnu,À faire,,,,,"[1.6949647, 46.8104355]"
Maker,32 Rue des Jeuneurs,Paris,75002, France,restaurant,,💸💸,Pizza 🍕,Validé ✅,TheFork 🍴,,,,"[2.3446396, 48.8696638]"
O'Zaman Spécialités Turques,20 Avenue de Fontainebleau,Le,94270, France,restaurant,,Grec 🥙,💸,Validé ✅,,,,,"[2.360503500000001, 48.8148189]"
Mangez Et Cassez-Vous!,64 Rue Alexandre Dumas 75011 Paris France,,,,fastfood,,Burger 🍔🍟,💸,À faire,,,,,"[2.395047, 48.8540185]"
Au Paradis Tropical,6 Rue Custine,Paris,75018, France,restaurant,,Restaurant,Africain,💸💸,À faire,TheFork 🍴,,,"[2.3489395, 48.88782559999999]"
At Homes,6 Rue Gaston Philippe,Saint-Denis,93200, France,restaurant,,Poulet 🐔,Burger 🍔🍟,🍴 inconnu,À faire,,,,"[2.35087, 48.93898099999999]"
Atelier P1,157 Rue Marcadet,Paris,75018, France,restaurant,Ateliers de pains chaque mercredi ,Boulangerie 🥖,💸,,,,,,"[2.3379019, 48.89125689999999]"
L'Atmosphère Aulnay sous Bois,Rue Ambroise Paré 93600 Aulnay-sous-Bois France,,,,restaurant,,Grec 🥙,À faire,,,,,,"[2.4906041, 48.9480655]"
Taiba,80 Avenue de Stalingrad 93200 Saint-Denis France,,,,restaurant,,Grec 🥙,🍴 inconnu,À faire,,,,,"[2.370975, 48.946651]"
Snack Churasqueira de Drancy,75 Avenue Henri Barbusse 93700 Drancy France,,,,supermarket,,Florian On Air,Snack,À faire,,,,,"[2.4466786, 48.91770229999999]"
La Marinade,110 Rue du 4 Août 1789,Villeurbanne,69100, France,restaurant,,Tacos 🇫🇷,À faire,,,,,,"[4.887171899999999, 45.7646113]"
Chez Ann Paradis,9 Rue de Paradis Paris France,,,,restaurant,Chinois,Asiat,À faire,,,,,,"[2.3542677, 48.8745544]"
Spring Bowl,10 Rue Bleue,Paris,75009, France,restaurant,Vietnamien,Asiat,💸💸,À faire,TheFork 🍴,,,,"[2.3468966, 48.8759192]"
La Boulangerie Moderne,16 Rue des Fossés Saint-Jacques,Paris,75005, France,restaurant,,Boulangerie 🥖,À faire,,,,,,"[2.3441853, 48.84549699999999]"
Gino Sorbillo Antica Pizzeria,Via dei Tribunali,,32, 80134 Napoli,restaurant,,Pizza 🍕,À faire,,,,,,"[14.2553176, 40.85041289999999]"
Chez Antoine,3 Avenue de la République 94300 Vincennes France,,,,restaurant,,Pizza 🍕,Validé ✅,💸,,,,,"[2.4288969, 48.8464232]"
786 Choisy-le-Roi,4 Boulevard de Stalingrad 94600 Choisy-le-Roi France,,,,fastfood,,Grec 🥙,À faire,,,,,,"[2.40396, 48.76723]"
Les Grands Buffets,11100 Narbonne France,,,,restaurant,,À faire,💸💸💸,Restaurant,2️⃣,,,,"[2.9941276, 43.17436379999999]"
Crousty,6 Avenue de Paris,Bonneuil-sur-Marne,94380, France,restaurant,,Validé ✅,Grec 🥙,Burger 🍔🍟,💸,,,,"[2.4817072, 48.7746985]"
Boulangerie Jean Noèl Julien,1 Rue de Provence,Paris,75009, France,restaurant,,Boulangerie 🥖,Validé ✅,,,,,,"[2.3420617, 48.8739922]"
GEMÜSE - Berliner Kebap,61 Rue Ramey,Paris,75018, France,restaurant,,Grec 🥙,À faire,,,,,,"[2.3452711, 48.89064510000001]"
Fricotin,85 bis avenue de wagram,Paris,75017, France,shopping,,Crêperie,💸💸,À faire,TheFork 🍴,,,,"[2.299895299999999, 48.8807404]"
Yummy & Guiltfree,3 rue du Temple 75004 Paris,,,,fastfood,,Pâtisseries,À faire,,,,,,"[2.35251, 48.85755]"
Burger Road,49 RUE ROBERT DUPONT,Asnières,92600, Ile-De-France,restaurant,,Burger 🍔🍟,Halal,💸,À faire,,,,"[2.28397, 48.9215]"
Burger Road,49 RUE ROBERT DUPONT,Asnières,92600, Ile-De-France,restaurant,,Burger 🍔🍟,Halal,💸,À faire,,,,"[2.2840147890807, 48.921508951022]"
John Circus,103 Rue du Faubourg Saint-Denis,Paris,75010, France,bar,,Pizza 🍕,À faire,,,,,,"[2.3555395, 48.87492350000001]"
Africa Delice,75015 Paris France,,,,business,,🍴 inconnu,Maghreb/Moyen-Orient,À faire,,,,,"[2.2832047, 48.8463028]"
Maison Bayat,112 Boulevard de Magenta,Paris,75010, France,restaurant,,Pâtisseries,Boulangerie 🥖,💸,Validé ✅,,,,"[2.3544708, 48.8784048]"
Le VIP Paris - Yacht Hotel,7 Port de la Rapée,Paris,75012, France,lodging,,Hotel,À faire,,,,,,"[2.3723173, 48.8412406]"
Aï Hsu,16 Rue Saint-Sébastien,Paris,75011, France,restaurant,Japonais ,Asiat,💸💸,À faire,TheFork 🍴,,,,"[2.3689244, 48.86096999999999]"
Ba Mien,180 Avenue de Choisy Paris France,,,,restaurant,Vietnamien,Asiat,,,,,,,"[2.3572353, 48.83002949999999]"
La Mangue Verte,100 Avenue Ivry,Paris,75013, France,restaurant,,Asiat,💸💸,,,,,,"[2.3615384, 48.8255573]"
Hibao Resto,28 Rue de Malte,Paris,75011, France,restaurant,,Asiat,💸💸,À faire,2️⃣,,,,"[2.368104999999999, 48.86542499999999]"
Volver,34 Rue Keller,Paris,75011, France,restaurant,Argentin ,À faire,💸💸,Hispanique,,,,,"[2.375572399999999, 48.85527]"
Chungking Express,5 Rue de la Tour d'Auvergne 75009 Paris France,,,,restaurant,Chinois ,Asiat,💸💸,À faire,,,,,"[2.3449, 48.8788]"
Tonkatsu Tombo,14 Rue de l'Arrivée Paris France,,,,restaurant,Japonais,Asiat,🍴 inconnu,À faire,,,,,"[2.321688, 48.843338]"
CHEZ HAKI,43 Rue des Gravilliers,Paris,75003, France,restaurant,,Asiat,💸💸,À faire,TheFork 🍴,,,,"[2.3554626, 48.8641522]"
BBQ Cadet,20 Rue Lamartine Paris France,,,,restaurant,Coréen ,Asiat,💸💸,À faire,TheFork 🍴,,,,"[2.34261, 48.87659]"
Bong Republique - Restaurant Coréen,6 Avenue de la République Paris France,,,,restaurant,,Asiat,💸💸,Réservation,À faire,,,,"[2.3663, 48.86668]"
Maison de la Culture Armenienne,17 Rue Bleue Paris France,,,,restaurant,,Europe de l'Est,À faire,,,,,,"[2.34612, 48.87585]"
Bacabon Izakaya,90 Rue de Charonne,Paris,75011, France,restaurant,Japonais,Asiat,💸💸,À faire,TheFork 🍴,,,,"[2.3817839, 48.8537196]"
Petit Bao,116 rue Saint-Denis,75002,Paris,,restaurant,Chinois,Asiat,💸💸,À faire,,,,,"[2.350294, 48.8644]"
Junglii,78 Rue de la Jonquière,Paris,75017, France,restaurant,,Asiat,À faire,TheFork 🍴,,,,,"[2.3201962, 48.8944466]"
Rajpoot,31 Rue Charles de Gaulle 94140 Alfortville France,,,,restaurant,Indien,Asiat,💸💸,À faire,,,,,"[2.4157861, 48.81479]"
Bobae,38 Rue Pascal,Paris,75013, France,restaurant,,Asiat,💸💸,À faire,,,,,"[2.348728700000001, 48.8368184]"
Bao Shelter,3 Rue Saint-Marc,Paris,75002, France,restaurant,,Asiat,Burger 🍔🍟,💸💸,Validé ✅,,,,"[2.3419019, 48.8702789]"
AUSMANE PARIS,26 Passage Verdeau,Paris,75009, France,shopping,,Parfumerie,💸💸,À faire,,,,,"[2.3424272, 48.8735411]"
AU BRAZIER MONTREUIL,128 Boulevard Chanzy,Montreuil,93100, France,restaurant,,Poulet 🐔,💸,Validé ✅,,,,,"[2.4289237, 48.8587465]"
